Date,Recession State
01-01-1963,0
01-02-1963,0
01-03-1963,0
01-04-1963,0
01-05-1963,0
01-06-1963,0
01-07-1963,0
01-08-1963,0
01-09-1963,0
01-10-1963,0
01-11-1963,0
01-12-1963,0
01-01-1964,0
01-02-1964,0
01-03-1964,0
01-04-1964,0
01-05-1964,0
01-06-1964,0
01-07-1964,0
01-08-1964,0
01-09-1964,0
01-10-1964,0
01-11-1964,0
01-12-1964,0
01-01-1965,0
01-02-1965,0
01-03-1965,0
01-04-1965,0
01-05-1965,0
01-06-1965,0
01-07-1965,0
01-08-1965,0
01-09-1965,0
01-10-1965,0
01-11-1965,0
01-12-1965,0
01-01-1966,0
01-02-1966,0
01-03-1966,0
01-04-1966,0
01-05-1966,0
01-06-1966,0
01-07-1966,0
01-08-1966,0
01-09-1966,0
01-10-1966,0
01-11-1966,0
01-12-1966,0
01-01-1967,0
01-02-1967,0
01-03-1967,0
01-04-1967,0
01-05-1967,0
01-06-1967,0
01-07-1967,0
01-08-1967,0
01-09-1967,0
01-10-1967,0
01-11-1967,0
01-12-1967,0
01-01-1968,0
01-02-1968,0
01-03-1968,0
01-04-1968,0
01-05-1968,0
01-06-1968,0
01-07-1968,0
01-08-1968,0
01-09-1968,0
01-10-1968,0
01-11-1968,0
01-12-1968,0
01-01-1969,0
01-02-1969,0
01-03-1969,0
01-04-1969,0
01-05-1969,0
01-06-1969,0
01-07-1969,0
01-08-1969,0
01-09-1969,0
01-10-1969,0
01-11-1969,0
01-12-1969,1
01-01-1970,1
01-02-1970,1
01-03-1970,1
01-04-1970,1
01-05-1970,1
01-06-1970,1
01-07-1970,1
01-08-1970,1
01-09-1970,1
01-10-1970,1
01-11-1970,1
01-12-1970,0
01-01-1971,0
01-02-1971,0
01-03-1971,0
01-04-1971,0
01-05-1971,0
01-06-1971,0
01-07-1971,0
01-08-1971,0
01-09-1971,0
01-10-1971,0
01-11-1971,0
01-12-1971,0
01-01-1972,0
01-02-1972,0
01-03-1972,0
01-04-1972,0
01-05-1972,0
01-06-1972,0
01-07-1972,0
01-08-1972,0
01-09-1972,0
01-10-1972,0
01-11-1972,0
01-12-1972,0
01-01-1973,0
01-02-1973,0
01-03-1973,0
01-04-1973,0
01-05-1973,0
01-06-1973,0
01-07-1973,0
01-08-1973,0
01-09-1973,0
01-10-1973,0
01-11-1973,1
01-12-1973,1
01-01-1974,1
01-02-1974,1
01-03-1974,1
01-04-1974,1
01-05-1974,1
01-06-1974,1
01-07-1974,1
01-08-1974,1
01-09-1974,1
01-10-1974,1
01-11-1974,1
01-12-1974,1
01-01-1975,1
01-02-1975,1
01-03-1975,1
01-04-1975,0
01-05-1975,0
01-06-1975,0
01-07-1975,0
01-08-1975,0
01-09-1975,0
01-10-1975,0
01-11-1975,0
01-12-1975,0
01-01-1976,0
01-02-1976,0
01-03-1976,0
01-04-1976,0
01-05-1976,0
01-06-1976,0
01-07-1976,0
01-08-1976,0
01-09-1976,0
01-10-1976,0
01-11-1976,0
01-12-1976,0
01-01-1977,0
01-02-1977,0
01-03-1977,0
01-04-1977,0
01-05-1977,0
01-06-1977,0
01-07-1977,0
01-08-1977,0
01-09-1977,0
01-10-1977,0
01-11-1977,0
01-12-1977,0
01-01-1978,0
01-02-1978,0
01-03-1978,0
01-04-1978,0
01-05-1978,0
01-06-1978,0
01-07-1978,0
01-08-1978,0
01-09-1978,0
01-10-1978,0
01-11-1978,0
01-12-1978,0
01-01-1979,0
01-02-1979,0
01-03-1979,0
01-04-1979,0
01-05-1979,0
01-06-1979,0
01-07-1979,0
01-08-1979,0
01-09-1979,0
01-10-1979,0
01-11-1979,0
01-12-1979,0
01-01-1980,1
01-02-1980,1
01-03-1980,1
01-04-1980,1
01-05-1980,1
01-06-1980,1
01-07-1980,1
01-08-1980,0
01-09-1980,0
01-10-1980,0
01-11-1980,0
01-12-1980,0
01-01-1981,0
01-02-1981,0
01-03-1981,0
01-04-1981,0
01-05-1981,0
01-06-1981,0
01-07-1981,1
01-08-1981,1
01-09-1981,1
01-10-1981,1
01-11-1981,1
01-12-1981,1
01-01-1982,1
01-02-1982,1
01-03-1982,1
01-04-1982,1
01-05-1982,1
01-06-1982,1
01-07-1982,1
01-08-1982,1
01-09-1982,1
01-10-1982,1
01-11-1982,1
01-12-1982,0
01-01-1983,0
